Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
12;44;14, 0.549, -0.118, 10.085, 8.000, 0.0, 62, 250, 1494, 66, 20, 72, 16, 239
12;44;17, 0.589, 0.039, 10.320, 9.000, 0.0, 63, 250, 1443, 64, 20, 72, 14, 234
12;44;19, 0.667, -0.039, 9.300, 9.000, 0.0, 63, 250, 1395, 61, 20, 72, 15, 235
12;44;21, 1.609, -0.432, 12.204, 8.000, 0.0, 63, 250, 1340, 59, 20, 72, 14, 238
12;44;24, 0.706, 0.667, 10.791, 8.000, 0.0, 63, 250, 1297, 57, 20, 72, 13, 238
12;44;26, 1.373, 0.118, 10.399, 8.000, 0.0, 63, 250, 1258, 55, 20, 72, 13, 237
12;44;28, 1.099, 0.942, 10.359, 9.000, 0.0, 63, 250, 1222, 54, 20, 72, 13, 236
12;44;31, 0.824, -0.118, 10.242, 9.000, 28.0, 64, 250, 852, 52, 20, 72, 9, 230
12;44;33, 1.648, -0.157, 10.791, 8.000, 0.0, 64, 250, 1431, 50, 20, 72, 16, 409
12;44;35, 1.295, -0.157, 8.829, 8.000, 58.0, 64, 250, 1452, 50, 20, 72, 18, 738
12;44;38, 2.040, -0.196, 9.221, 8.000, 0.0, 64, 250, 1481, 52, 20, 72, 16, 239
12;44;40, 1.059, -0.078, 9.575, 8.000, 0.0, 64, 250, 1359, 48, 19, 72, 14, 238
12;44;42, 1.923, 0.471, 10.242, 8.000, 0.0, 64, 250, 1251, 44, 19, 72, 13, 235
12;44;45, 0.824, 0.314, 9.575, 8.000, 4.0, 64, 250, 1153, 40, 19, 72, 8, 241
12;44;47, 0.942, -0.981, 10.673, 8.000, 0.0, 64, 250, 903, 35, 20, 72, 12, 236
12;44;49, 0.785, -0.903, 9.967, 9.000, 29.0, 64, 250, 860, 23, 20, 72, 8, 244
12;44;52, 0.549, -0.196, 9.888, 8.000, 26.0, 64, 250, 855, 13, 20, 72, 8, 236
12;44;54, 0.432, 0.196, 9.888, 8.000, 25.0, 64, 250, 850, 7, 20, 72, 8, 234
12;44;56, 0.471, -0.314, 10.477, 7.000, 17.0, 64, 250, 879, 8, 20, 72, 9, 237
12;44;59, 0.039, 0.471, 9.300, 8.000, 29.0, 64, 250, 1048, 8, 20, 72, 12, 334
12;45;01, -0.314, 0.549, 10.085, 7.000, 8.0, 64, 250, 1375, 12, 20, 72, 15, 245
12;45;03, -0.157, 0.039, 9.849, 8.000, 24.0, 64, 250, 980, 8, 20, 72, 10, 288
12;45;06, 0.706, 0.314, 9.692, 8.000, 17.0, 64, 250, 1323, 11, 20, 72, 14, 248
12;45;08, 0.157, -0.667, 11.183, 8.000, 16.0, 63, 250, 866, 8, 20, 72, 7, 231
12;45;10, 0.746, 0.510, 9.575, 8.000, 24.0, 63, 250, 899, 7, 20, 72, 9, 243
12;45;13, 0.510, 0.275, 9.692, 8.000, 48.0, 63, 250, 985, 7, 20, 72, 12, 395
12;45;15, 0.078, -0.432, 9.928, 8.000, 27.0, 63, 250, 1263, 10, 20, 72, 16, 436
12;45;17, 0.235, 1.099, 9.967, 8.000, 21.0, 64, 250, 1886, 15, 20, 72, 15, 239
12;45;20, 0.392, -0.549, 9.653, 8.000, 26.0, 64, 250, 879, 15, 20, 72, 9, 241
12;45;22, 0.746, -1.413, 9.418, 8.000, 26.0, 64, 250, 845, 11, 20, 72, 8, 233
12;45;25, 0.549, -0.549, 10.359, 8.000, 26.0, 64, 250, 845, 4, 20, 72, 8, 234
12;45;27, 0.275, -0.157, 10.595, 8.000, 29.0, 63, 250, 749, 0, 20, 72, 6, 220
12;45;29, 0.078, -0.118, 10.634, 7.000, 27.0, 64, 250, 763, 0, 20, 72, 6, 217
12;45;32, 0.510, 0.314, 9.457, 8.000, 26.0, 64, 250, 751, 0, 20, 72, 6, 219
12;45;34, 0.510, 0.353, 9.457, 8.000, 26.0, 64, 250, 749, 0, 20, 72, 6, 220
12;45;36, 0.392, 0.118, 9.457, 7.000, 27.0, 64, 250, 754, 0, 20, 72, 7, 220
12;45;38, 0.314, 0.314, 10.595, 8.000, 25.0, 64, 250, 753, 0, 20, 72, 7, 222
12;45;41, 0.628, 0.432, 9.771, 8.000, 25.0, 64, 250, 829, 1, 20, 72, 7, 228
12;45;43, 0.746, 0.353, 9.457, 8.000, 25.0, 64, 250, 847, 1, 20, 72, 7, 231
12;45;46, 0.235, -0.196, 9.810, 8.000, 26.0, 64, 250, 747, 0, 20, 72, 7, 221
12;45;48, 0.353, 0.118, 9.692, 7.000, 26.0, 64, 250, 751, 0, 20, 72, 6, 219
12;45;50, 0.392, 0.039, 10.438, 8.000, 26.0, 64, 250, 753, 0, 20, 72, 6, 220
12;45;53, 0.275, 0.078, 9.888, 9.000, 25.0, 64, 250, 751, 0, 20, 72, 7, 218
12;45;55, 0.392, 0.275, 9.378, 8.000, 26.0, 64, 250, 750, 0, 21, 72, 7, 218
12;45;57, 0.275, 0.314, 9.496, 8.000, 25.0, 64, 250, 748, 0, 21, 72, 7, 220
12;46;00, 0.706, 0.078, 10.045, 8.000, 27.0, 64, 250, 749, 0, 21, 72, 7, 221
12;46;02, 0.746, 0.157, 10.202, 8.000, 26.0, 64, 250, 745, 0, 21, 72, 7, 221
12;46;04, 0.314, 0.118, 10.595, 8.000, 26.0, 64, 250, 752, 0, 21, 72, 7, 219
12;46;07, 0.549, 0.235, 10.085, 8.000, 26.0, 64, 250, 752, 0, 21, 72, 7, 219
12;46;09, 0.746, 0.235, 9.732, 8.000, 26.0, 64, 250, 755, 0, 21, 72, 6, 218
12;46;11, 0.510, 0.196, 9.496, 8.000, 26.0, 64, 250, 751, 0, 21, 72, 6, 220
12;46;14, 0.353, 0.118, 9.535, 8.000, 26.0, 64, 250, 749, 0, 21, 72, 6, 219
12;46;16, 0.471, 0.392, 9.614, 7.000, 25.0, 64, 250, 750, 0, 21, 72, 7, 219
12;46;18, -0.353, 0.785, 9.849, 8.000, 38.0, 64, 250, 1653, 1, 21, 72, 16, 464
12;46;21, 0.235, 0.863, 10.163, 8.000, 31.0, 64, 250, 1669, 14, 21, 72, 23, 585
12;46;23, 0.353, 2.708, 10.124, 8.000, 68.0, 64, 250, 3159, 25, 21, 72, 52, 254
12;46;25, 0.353, 1.216, 10.477, 8.000, 41.0, 64, 250, 1485, 32, 21, 72, 16, 649
12;46;28, 1.648, -0.039, 11.576, 7.000, 78.0, 64, 250, 1595, 40, 21, 72, 23, 832
12;46;30, 1.687, 0.824, 10.045, 7.000, 78.0, 65, 250, 1956, 49, 21, 72, 26, 222
12;46;32, 0.549, -0.235, 9.104, 7.000, 30.0, 65, 250, 1512, 52, 21, 72, 17, 610
12;46;35, 0.432, 0.903, 8.947, 8.000, 53.0, 65, 250, 1579, 55, 20, 72, 21, 600
12;46;37, 0.039, 1.138, 10.556, 8.000, 40.0, 65, 250, 1653, 58, 20, 72, 21, 707
12;46;39, 0.353, 0.785, 10.359, 8.000, 65.0, 65, 250, 1756, 61, 20, 72, 24, 879
12;46;42, 1.609, 0.275, 10.909, 8.000, 76.0, 66, 250, 1915, 66, 20, 73, 25, 248
12;46;44, 0.628, -0.471, 9.457, 8.000, 0.0, 66, 250, 956, 67, 20, 73, 15, 240
12;46;46, -0.196, 0.314, 9.064, 7.000, 0.0, 66, 250, 1440, 63, 20, 73, 15, 237
12;46;49, 0.863, 0.039, 8.397, 8.000, 0.0, 67, 250, 1375, 61, 20, 73, 15, 237
12;46;51, -0.196, 0.903, 7.456, 7.000, 71.0, 67, 250, 1343, 58, 20, 73, 16, 668
12;46;53, 0.118, 0.235, 8.947, 7.000, 0.0, 67, 250, 1311, 60, 20, 73, 15, 240
12;46;56, 1.216, -0.353, 8.907, 7.000, 28.0, 68, 250, 1309, 57, 20, 73, 14, 468
12;46;58, 1.648, 1.334, 11.419, 7.000, 76.0, 68, 250, 1301, 57, 20, 73, 16, 465
12;47;00, 0.942, 0.314, 8.044, 7.000, 43.0, 68, 250, 1316, 57, 20, 73, 15, 445
12;47;03, 0.628, 0.157, 9.064, 7.000, 0.0, 68, 250, 1290, 57, 20, 73, 14, 241
12;47;05, 1.177, -0.118, 9.810, 7.000, 0.0, 68, 250, 1212, 53, 20, 73, 13, 322
12;47;07, -0.510, 0.078, 8.947, 8.000, 45.0, 69, 250, 1180, 52, 20, 73, 13, 404
12;47;10, -0.039, 0.078, 9.143, 8.000, 49.0, 69, 250, 1186, 52, 20, 73, 14, 615
12;47;12, 2.040, 0.667, 12.518, 8.000, 87.0, 69, 250, 1255, 55, 20, 73, 15, 681
12;47;15, 1.334, -0.235, 9.732, 8.000, 85.0, 69, 250, 1341, 59, 20, 73, 17, 738
12;47;17, 2.354, 1.687, 9.339, 7.000, 52.0, 69, 250, 1400, 62, 20, 73, 17, 542
12;47;19, 0.628, 1.295, 9.732, 7.000, 50.0, 69, 250, 1423, 63, 20, 73, 17, 532
12;47;22, 1.138, -0.235, 8.201, 7.000, 37.0, 69, 250, 1411, 62, 20, 73, 17, 547
12;47;24, -0.039, -0.785, 10.713, 8.000, 66.0, 70, 250, 1435, 63, 20, 73, 17, 569
12;47;26, 0.981, -0.863, 8.123, 8.000, 0.0, 70, 250, 1429, 63, 20, 73, 15, 239
12;47;28, 0.981, -1.452, 9.888, 7.000, 15.0, 70, 250, 1351, 60, 20, 73, 15, 443
