Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;38;27, -1.059, 0.392, 10.673, 6.000, 0.58, 41, 250, 1365, 34, 18, 0, 18, 601
06;38;29, -1.138, 0.196, 10.399, 5.000, 0.69, 41, 250, 1643, 41, 19, 0, 22, 239
06;38;31, -0.981, -0.667, 10.399, 6.000, 0.00, 41, 250, 1593, 41, 18, 0, 17, 219
06;38;34, 0.000, -0.667, 11.380, 6.000, 0.45, 41, 250, 1456, 37, 18, 0, 18, 557
06;38;36, -1.216, 0.628, 10.634, 5.000, 0.72, 42, 250, 1718, 43, 18, 0, 26, 696
06;38;38, -1.059, -0.549, 9.261, 6.000, 0.00, 42, 250, 1766, 45, 18, 0, 20, 221
06;38;41, -0.235, -1.059, 9.575, 5.000, 0.00, 42, 250, 1595, 41, 18, 0, 17, 219
06;38;43, -1.099, -0.942, 10.242, 6.000, 0.00, 43, 250, 1442, 37, 18, 0, 15, 225
06;38;45, -0.706, -0.589, 8.868, 5.000, 0.00, 43, 250, 1279, 33, 18, 0, 13, 221
06;38;48, -0.706, -0.981, 10.045, 7.000, 0.00, 43, 250, 1121, 29, 18, 0, 12, 223
06;38;50, -0.667, -0.628, 10.242, 4.000, 0.11, 44, 250, 974, 25, 18, 0, 10, 214
06;38;52, -0.589, -0.942, 9.771, 5.000, 0.26, 44, 250, 847, 22, 18, 0, 8, 227
06;38;55, -0.628, -0.549, 9.575, 6.000, 0.24, 44, 250, 851, 16, 18, 0, 8, 229
06;38;57, -1.295, -0.196, 9.888, 6.000, 0.24, 44, 250, 851, 12, 18, 0, 7, 244
06;38;59, -1.059, 0.903, 10.006, 5.000, 0.85, 45, 250, 1121, 17, 18, 0, 16, 698
06;39;02, -1.805, 0.785, 8.240, 5.000, 0.80, 45, 250, 1762, 28, 18, 0, 30, 876
06;39;04, -1.413, -0.746, 9.653, 6.000, 0.14, 45, 250, 1243, 38, 18, 0, 11, 289
06;39;06, -3.257, -0.667, 9.221, 6.000, 0.73, 45, 250, 1546, 39, 18, 0, 21, 710
06;39;09, -0.942, 0.589, 11.262, 4.000, 0.65, 45, 250, 1821, 46, 18, 0, 27, 594
06;39;11, -0.275, -0.314, 10.713, 5.000, 0.00, 45, 250, 1555, 47, 18, 0, 9, 223
06;39;13, -0.667, -0.471, 9.771, 5.000, 0.20, 46, 250, 1258, 44, 18, 0, 13, 272
06;39;16, -0.314, -0.510, 10.438, 5.000, 0.38, 46, 250, 1241, 43, 18, 0, 14, 248
06;39;18, -0.510, -0.235, 10.869, 5.000, 0.00, 47, 250, 1163, 41, 18, 0, 12, 225
06;39;20, -0.746, -0.353, 10.359, 5.000, 0.00, 47, 250, 1066, 37, 18, 0, 11, 220
06;39;22, -0.667, -0.196, 9.732, 5.000, 0.24, 47, 250, 839, 33, 18, 0, 8, 222
06;39;25, -0.510, -1.256, 9.928, 6.000, 0.24, 47, 250, 851, 24, 18, 0, 8, 224
06;39;27, 0.314, -1.530, 11.105, 5.000, 0.24, 48, 250, 858, 14, 18, 0, 8, 227
06;39;29, -0.863, -0.392, 11.144, 3.000, 0.26, 48, 250, 849, 9, 18, 0, 12, 342
06;39;32, -1.295, 0.667, 9.614, 5.000, 0.86, 48, 250, 1001, 15, 18, 0, 14, 641
06;39;34, -2.394, 0.981, 10.556, 5.000, 0.78, 48, 250, 1592, 25, 18, 0, 26, 756
06;39;36, 0.157, 0.589, 9.339, 5.000, 0.24, 48, 250, 863, 30, 18, 0, 13, 341
06;39;39, -1.844, -1.099, 10.006, 3.000, 0.84, 48, 250, 1347, 34, 18, 0, 19, 754
06;39;41, -1.099, 0.903, 10.399, 5.000, 0.49, 49, 250, 1641, 41, 18, 0, 17, 231
06;39;43, 0.118, 0.078, 10.281, 3.000, 0.67, 49, 250, 1202, 42, 18, 0, 14, 489
06;39;46, -0.471, -0.392, 7.926, 4.000, 0.45, 49, 250, 1273, 44, 18, 0, 15, 312
06;39;48, -0.118, -0.706, 10.124, 6.000, 0.13, 49, 250, 1264, 44, 18, 0, 13, 283
06;39;50, -1.570, 0.589, 8.554, 3.000, 0.35, 50, 250, 1234, 43, 18, 0, 14, 365
06;39;53, -0.275, -0.314, 10.438, 5.000, 0.20, 50, 250, 1243, 44, 18, 0, 14, 322
06;39;55, 1.452, -0.589, 12.204, 5.000, 0.67, 50, 250, 1293, 45, 18, 0, 16, 355
06;39;57, -0.432, 0.353, 9.692, 5.000, 0.00, 51, 250, 1273, 45, 18, 0, 14, 230
06;40;00, -0.353, -0.589, 8.358, 5.000, 0.00, 51, 250, 1178, 41, 18, 0, 13, 228
06;40;02, -0.039, -0.706, 10.830, 4.000, 0.00, 51, 250, 1090, 38, 18, 0, 12, 227
06;40;04, -0.118, -0.667, 11.026, 4.000, 0.27, 52, 250, 856, 35, 18, 0, 8, 229
06;40;07, 0.196, -0.628, 9.810, 4.000, 0.27, 52, 250, 855, 29, 18, 0, 8, 228
